text,tags,entities
"The Matterhorn, a famous mountain with a distinctive peak, is located in Switzerland.",O B-MOUNTAIN O O O O O O O O O O O,Matterhorn
"Fuji, Japan's highest mountain, is an active stratovolcano.",B-MOUNTAIN O O O O O O O,Fuji
"Aspiring Mountain, also known as Aspiring, is the second-highest peak in New Zealand.",B-MOUNTAIN O O O O O O O O O O O O,Aspiring
"Mount Whitney, at 14,505 feet, is the highest summit in the contiguous United States.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Whitney
"The Andes Mountains, the world's longest mountain range, run through several South American countries.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Andes Mountains
"Elbrus, located in Russia, is Europe's tallest mountain.",B-MOUNTAIN O O O O O O O,Elbrus
"Mount Kosciuszko, at 7,310 feet, is the highest mountain in Australia.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Mount Kosciuszko
"Vesuvius, the famous volcano near Naples, Italy, is known for its destructive eruptions.",B-MOUNTAIN O O O O O O O O O O O O,Vesuvius
The breathtaking view of Fuji from our hotel room was a sight to behold.,O O O O B-MOUNTAIN O O O O O O O O O,Fuji
"In the heart of New Zealand lies the majestic Mount Cook, the highest peak in the country.",O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O,Mount Cook
"The Matterhorn, located in Switzerland, is one of the most iconic mountains in the world.",O B-MOUNTAIN O O O O O O O O O O O O O,Matterhorn
Aoraki/Mount Cook is New Zealand's highest mountain and a popular destination for climbers.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Aoraki/Mount Cook
"Fuji, Japan's tallest mountain, is a dormant stratovolcano and a cultural icon.",B-MOUNTAIN O O O O O O O O O O O,Fuji
"Mount Kilimanjaro, Africa's highest peak, offers multiple climbing routes of varying difficulty.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Mount Kilimanjaro
"The Andes, the world's longest mountain range, span seven countries in South America.",O B-MOUNTAIN O O O O O O O O O O O,Andes
"Elbrus, Europe's tallest mountain, is a part of the Caucasus Mountain Range.",B-MOUNTAIN O O O O O O O O O O O,Elbrus
"Whitney, located in California, is the highest summit in the contiguous United States.",B-MOUNTAIN O O O O O O O O O O O O,Whitney
"Mount Vinson Massif, the highest point in Antarctica, is a popular destination for extreme climbers.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Vinson Massif
"Logan, Canada's highest mountain, is located within Kluane National Park and Reserve.",B-MOUNTAIN O O O O O O O O O O O,Logan
"Mount Kosciuszko, Australia's tallest mountain, can be found in the Snowy Mountains of New South Wales.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O,Mount Kosciuszko
"Aoraki/Mt. Cook is New Zealand's highest peak, standing at an impressive height of 3,754 meters.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Aoraki/Mt. Cook
"Fuji, located on the island of Honshu, is an active stratovolcano that last erupted in 1707.",B-MOUNTAIN O O O O O O O O O O O O O O O,Fuji
"The Matterhorn, a famous and iconic peak in the Swiss Alps, reaches a height of 4,478 meters.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,The Matterhorn
"Whitney, located in California's Sierra Nevada mountain range, is the highest summit in the contiguous United States.",B-MOUNTAIN O O O O O O O O O O O O O O O O,Whitney
"Elbrus, a dormant volcano in Russia, is the tallest mountain in Europe, with a height of 5,642 meters.",B-MOUNTAIN O O O O O O O O O O O O O O O O O,Elbrus
"Mont Blanc, located on the border between France and Italy, is the highest mountain in the Alps, standing at 4,808 meters.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O O O O,Mont Blanc
"The Andes Mountains, the longest continental mountain range in the world, stretch for over 7,000 kilometers along South America's western edge.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O O O,The Andes Mountains
"Mount McKinley, also known as Denali, is the highest mountain peak in North America. || Mount McKinley (Denali)",O O O O O B-MOUNTAIN O O O O O O O O O O O O,Denali
"Mount Kilimanjaro, a dormant volcano in Tanzania, is Africa's highest peak and a popular destination for climbers from around the world. || Mount Kilimanjaro (Tanzania)",O B-MOUNTAIN O O O O O O O O O O O O O O O O O O O O O O O,Kilimanjaro
"The Matterhorn, a famous mountain with a distinctive peak, can be found in the Swiss Alps.",O B-MOUNTAIN O O O O O O O O O O O O O O,Matterhorn
"Aoraki/Mount Cook is New Zealand's highest peak, towering at 3,754 meters.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Aoraki/Mount Cook
"The Matterhorn, a pyramid-shaped mountain in Switzerland, is one of the most iconic peaks.",O B-MOUNTAIN O O O O O O O O O O O O,Matterhorn
Mount Vinson Massif is located in Antarctica and is the highest point on the continent.,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Vinson Massif
"Mount Fuji, Japan's tallest mountain, is a popular destination for climbers.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Mount Fuji
"Kangchenjunga, the third highest peak in the world, borders Nepal and India.",B-MOUNTAIN O O O O O O O O O O O,Kangchenjunga
"The Andes, the world's longest mountain range, stretch more than 7,000 kilometers through South America.",O B-MOUNTAIN O O O O O O O O O O O O O,Andes
"Elbrus, located in Russia, is Europe's highest peak.",B-MOUNTAIN O O O O O O O,Elbrus
"The Carpathian Mountains, a system of mountains in Eastern Europe, are home to many national parks.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Carpathian Mountains
"Mount Logan, located in Canada's Yukon Territory, is the highest peak in Canada.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Mount Logan
