text,entity,label,confidence
"The Matterhorn, a famous mountain with a distinctive peak, is located in Switzerland.",matterhorn,MOUNTAIN,0.9960978031158447
"Fuji, Japan's highest mountain, is an active stratovolcano.",fuji,MOUNTAIN,0.9935977458953857
"Aspiring Mountain, also known as Aspiring, is the second-highest peak in New Zealand.",aspiring mountain,MOUNTAIN,0.9544768333435059
"Aspiring Mountain, also known as Aspiring, is the second-highest peak in New Zealand.",aspiring,MOUNTAIN,0.818461537361145
"Mount Whitney, at 14,505 feet, is the highest summit in the contiguous United States.",mount whitney,MOUNTAIN,0.9926338791847229
"The Andes Mountains, the world's longest mountain range, run through several South American countries.",andes mountains,MOUNTAIN,0.9886641502380371
"Elbrus, located in Russia, is Europe's tallest mountain.",elbrus,MOUNTAIN,0.9946640729904175
"Mount Kosciuszko, at 7,310 feet, is the highest mountain in Australia.",mount kosciuszko,MOUNTAIN,0.9939999580383301
"Vesuvius, the famous volcano near Naples, Italy, is known for its destructive eruptions.",vesuvius,MOUNTAIN,0.9911015033721924
The breathtaking view of Fuji from our hotel room was a sight to behold.,fuji,MOUNTAIN,0.8424509167671204
"In the heart of New Zealand lies the majestic Mount Cook, the highest peak in the country.",mount cook,MOUNTAIN,0.975649356842041
"The Matterhorn, located in Switzerland, is one of the most iconic mountains in the world.",matterhorn,MOUNTAIN,0.9957454800605774
Aoraki/Mount Cook is New Zealand's highest mountain and a popular destination for climbers.,aoraki,MOUNTAIN,0.9905932545661926
Aoraki/Mount Cook is New Zealand's highest mountain and a popular destination for climbers.,mount cook,MOUNTAIN,0.9512132406234741
"Fuji, Japan's tallest mountain, is a dormant stratovolcano and a cultural icon.",fuji,MOUNTAIN,0.9939804077148438
"Mount Kilimanjaro, Africa's highest peak, offers multiple climbing routes of varying difficulty.",mount kilimanjaro,MOUNTAIN,0.9900232553482056
"The Andes, the world's longest mountain range, span seven countries in South America.",andes,MOUNTAIN,0.981357753276825
"Elbrus, Europe's tallest mountain, is a part of the Caucasus Mountain Range.",elbrus,MOUNTAIN,0.9941132664680481
"Whitney, located in California, is the highest summit in the contiguous United States.",whitney,MOUNTAIN,0.9906542897224426
"Mount Vinson Massif, the highest point in Antarctica, is a popular destination for extreme climbers.",mount vinson massif,MOUNTAIN,0.9914070963859558
"Logan, Canada's highest mountain, is located within Kluane National Park and Reserve.",logan,MOUNTAIN,0.9841452240943909
"Mount Kosciuszko, Australia's tallest mountain, can be found in the Snowy Mountains of New South Wales.",mount kosciuszko,MOUNTAIN,0.994174599647522
"Aoraki/Mt. Cook is New Zealand's highest peak, standing at an impressive height of 3,754 meters.",aoraki /,MOUNTAIN,0.7156165242195129
"Aoraki/Mt. Cook is New Zealand's highest peak, standing at an impressive height of 3,754 meters.",mt. cook,MOUNTAIN,0.7063660025596619
"Fuji, located on the island of Honshu, is an active stratovolcano that last erupted in 1707.",fuji,MOUNTAIN,0.9928773045539856
"The Matterhorn, a famous and iconic peak in the Swiss Alps, reaches a height of 4,478 meters.",matterhorn,MOUNTAIN,0.9961192607879639
"Whitney, located in California's Sierra Nevada mountain range, is the highest summit in the contiguous United States.",whitney,MOUNTAIN,0.9909428954124451
"Elbrus, a dormant volcano in Russia, is the tallest mountain in Europe, with a height of 5,642 meters.",elbrus,MOUNTAIN,0.9946252703666687
"Mont Blanc, located on the border between France and Italy, is the highest mountain in the Alps, standing at 4,808 meters.",mont blanc,MOUNTAIN,0.9922395348548889
"The Andes Mountains, the longest continental mountain range in the world, stretch for over 7,000 kilometers along South America's western edge.",andes mountains,MOUNTAIN,0.9894092082977295
"Mount McKinley, also known as Denali, is the highest mountain peak in North America. || Mount McKinley (Denali)",denali,MOUNTAIN,0.9605724215507507
"Mount Kilimanjaro, a dormant volcano in Tanzania, is Africa's highest peak and a popular destination for climbers from around the world. || Mount Kilimanjaro (Tanzania)",kilimanjaro,MOUNTAIN,0.9846200942993164
"The Matterhorn, a famous mountain with a distinctive peak, can be found in the Swiss Alps.",matterhorn,MOUNTAIN,0.9961193799972534
"Aoraki/Mount Cook is New Zealand's highest peak, towering at 3,754 meters.",aoraki /,MOUNTAIN,0.7518607378005981
"Aoraki/Mount Cook is New Zealand's highest peak, towering at 3,754 meters.",mount cook,MOUNTAIN,0.9394334554672241
"The Matterhorn, a pyramid-shaped mountain in Switzerland, is one of the most iconic peaks.",matterhorn,MOUNTAIN,0.9960389137268066
Mount Vinson Massif is located in Antarctica and is the highest point on the continent.,mount vinson massif,MOUNTAIN,0.9900486469268799
"Mount Fuji, Japan's tallest mountain, is a popular destination for climbers.",mount fuji,MOUNTAIN,0.994971513748169
"Kangchenjunga, the third highest peak in the world, borders Nepal and India.",kangchenjunga,MOUNTAIN,0.9863411784172058
"The Andes, the world's longest mountain range, stretch more than 7,000 kilometers through South America.",andes,MOUNTAIN,0.9825544953346252
"Elbrus, located in Russia, is Europe's highest peak.",elbrus,MOUNTAIN,0.9944933652877808
"The Carpathian Mountains, a system of mountains in Eastern Europe, are home to many national parks.",carpathian mountains,MOUNTAIN,0.983307421207428
"Mount Logan, located in Canada's Yukon Territory, is the highest peak in Canada.",mount logan,MOUNTAIN,0.9922115802764893
Mount Kilimanjaro's Uhuru Peak is the highest summit in Africa. || Mount Kilimanjaro (Uhuru Peak),kilimanjaro,MOUNTAIN,0.9784085750579834
"The Matterhorn, a famous mountain in the Swiss Alps, has been a popular destination for climbers worldwide.",matterhorn,MOUNTAIN,0.9959926009178162
"Aconcagua, standing tall at an elevation of 6,959 meters, is the highest peak in South America.",aconcagua,MOUNTAIN,0.9914286732673645
