text,tags,entities
"The Matterhorn, located on the border of Switzerland and Italy, is one of the most iconic mountains.",O B-MOUNTAIN O O O O O O O O O O O O O O O,Matterhorn
Aoraki/Mount Cook is New Zealand's highest mountain and a popular destination for climbers.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Aoraki/Mount Cook
"Fuji, Japan's tallest mountain, is a symbol of the country's culture and history.",B-MOUNTAIN O O O O O O O O O O O O,Fuji
"Mount Vesuvius, famous for its eruption that destroyed Pompeii, is an active volcano in Italy.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Mount Vesuvius
"Mount Elbrus, located in Russia, is the highest peak in Europe.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Mount Elbrus
"Olympus, considered the home of the Greek gods, is the highest mountain in Greece.",B-MOUNTAIN O O O O O O O O O O O O O,Olympus
"Mount Kenya, a stratovolcano in Kenya, is the second highest peak in Africa.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Mount Kenya
"Whitney, located in California, is the highest summit in the contiguous United States.",B-MOUNTAIN O O O O O O O O O O O O,Whitney
"Mount Aconcagua, towering over Argentina and Chile, is the highest mountain outside Asia.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Mount Aconcagua
"Rinjani, an active volcano on the Indonesian island of Lombok, is known for its beautiful crater lake.",B-MOUNTAIN O O O O O O O O O O O O O O O O,Rinjani
"The Matterhorn, a famous peak with a distinctive silhouette, is located in Switzerland.",O B-MOUNTAIN O O O O O O O O O O O,Matterhorn
Aoraki/Mount Cook is New Zealand's highest mountain and a popular destination for climbers.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Aoraki/Mount Cook
"Mount Fuji, Japan's tallest mountain, is a symbol of the country and an active stratovolcano.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Mount Fuji
"In South America, the Andes Mountains stretch over 7,000 kilometers, making them one of the world's longest mountain ranges.",O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Andes Mountains
"Ararat, located in Turkey, is believed by some to be the resting place of Noah's Ark according to the Bible.",B-MOUNTAIN O O O O O O O O O O O O O O O O O O O,Ararat
The Ural Mountains form a natural border between Europe and Asia and are among the oldest mountains on Earth.,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O,Ural Mountains
"Mount Elbrus, part of the Caucasus Mountains in Russia, is the highest peak in Europe.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O,Mount Elbrus
"Olympus, located in Greece, was considered the home of the ancient Greek gods according to mythology.",B-MOUNTAIN O O O O O O O O O O O O O O O,Olympus
"Whitney, the tallest mountain in the contiguous United States, is part of the Sierra Nevada range.",B-MOUNTAIN O O O O O O O O O O O O O O O,Whitney
"The Rocky Mountains, which span parts of Canada and the U.S., are known for their scenic beauty and diverse wildlife.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O O,Rocky Mountains
"The Matterhorn, a pyramidal peak in the Alps on the border between Switzerland and Italy, is one of the most famous mountains in the world.",O B-MOUNTAIN O O O O O O O O O O O O O O O O O O O O O O O,Matterhorn
"Mount Fuji, located in Japan, is the country's highest mountain and a popular destination for climbers.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O,Mount Fuji
"Aconcagua, standing tall at 6,959 meters, is the highest peak in South America.",B-MOUNTAIN O O O O O O O O O O O O,Aconcagua
"Elbrus, situated in Russia, is Europe's highest mountain with two summits.",B-MOUNTAIN O O O O O O O O O O,Elbrus
"Mount McKinley, also known as Denali, is the highest peak in North America. (Repeated for clarity)",O O O O O B-MOUNTAIN O O O O O O O O O O,Denali
"Kosciuszko, located in Australia, is the country's highest mountain.",B-MOUNTAIN O O O O O O O O,Kosciuszko
"Mount Vinson, located in Antarctica, is the southernmost of the Seven Summits.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Mount Vinson
"Mount Kilimanjaro, a dormant volcano in Tanzania, is Africa's highest peak. (Repeated for clarity)",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Kilimanjaro
"Mount Whitney, located in California, is the highest summit in the contiguous United States.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Whitney
"St. Helens, an active stratovolcano in Washington state, became famous after its 1980 eruption.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,St. Helens
"The Matterhorn, a famous peak with a distinctive pyramid shape, is located in Switzerland.",O B-MOUNTAIN O O O O O O O O O O O O,Matterhorn
"Aconcagua, standing at 6,959 meters tall, is the highest mountain outside Asia.",B-MOUNTAIN O O O O O O O O O O O,Aconcagua
"Fuji, an active stratovolcano, is Japan's highest mountain and a cultural symbol.",B-MOUNTAIN O O O O O O O O O O O,Fuji
"The Andes, the world's longest continental mountain range, stretch along western South America.",O B-MOUNTAIN O O O O O O O O O O O,Andes
"Elbrus, located in Russia, is Europe's highest peak.",B-MOUNTAIN O O O O O O O,Elbrus
"Mount Vinson Massif, the highest peak in Antarctica, attracts many climbers each year.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Mount Vinson Massif
"Kangchenjunga, the third highest mountain on Earth, is located on the border of Nepal and India.",B-MOUNTAIN O O O O O O O O O O O O O O O,Kangchenjunga
"The Rockies, a major mountain range in North America, extend from the northernmost parts of British Columbia to New Mexico.",O B-MOUNTAIN O O O O O O O O O O O O O O O O O O,Rockies
"Mount Kilimanjaro, with its three volcanic cones, is Africa's highest mountain. || Mount Kilimanjaro (repeated for variety)",O B-MOUNTAIN O O O O O O O O O O O O O O O,Kilimanjaro
"Mount McKinley, known as Denali in Alaska's native languages, is North America's highest peak. || Denali (repeated for variety)",O O O O B-MOUNTAIN O O O O O O O O O O O O O O,Denali
"The Matterhorn, a famous peak in Switzerland, is recognized worldwide for its unique shape.",O B-MOUNTAIN O O O O O O O O O O O O,Matterhorn
"Aoraki/Mount Cook, New Zealand's highest mountain, is a popular destination for climbers.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Aoraki/Mount Cook
"Mount Fuji, Japan's tallest mountain and an active stratovolcano, is a significant cultural symbol in Japanese art.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,Mount Fuji
"Mount Vesuvius, the famous volcano near Naples, Italy, is known for its destructive eruptions.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Vesuvius
"Mount Olympus, located in Greece, was considered the home of the ancient Greek gods according to mythology.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,Mount Olympus
"Mount Whitney, the highest summit in the contiguous United States, is part of the Sierra Nevada range.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,Mount Whitney
"Mount Elbrus, a dormant volcano located in Russia, is the tallest mountain in Europe.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Elbrus
"Mont Blanc, the highest peak of the Alps, lies on the border between France and Italy.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O,Mont Blanc
"Mount Rushmore, located in South Dakota, United States, features carved faces of four U.S. Presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O O O O O O O O,Mount Rushmore
Aoraki/Mount Cook is New Zealand's highest peak.,B-MOUNTAIN I-MOUNTAIN O O O O O,Aoraki/Mount Cook
"The Matterhorn, with its distinctive peak, is a popular destination for climbers.",O B-MOUNTAIN O O O O O O O O O O,Matterhorn
Aoraki/Mount Cook is New Zealand's highest mountain and a significant landmark.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Aoraki/Mount Cook
"Mount Fuji, Japan's tallest mountain, is a symbol of the country's culture and history.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Fuji
"Vesuvius, famous for its eruption that destroyed Pompeii, is an active volcano in Italy.",B-MOUNTAIN O O O O O O O O O O O O O,Vesuvius
"Elbrus, located in Russia, is the highest peak in Europe.",B-MOUNTAIN O O O O O O O O O,Elbrus
"Rushmore, a monument carved into a granite face, features the heads of four U.S. presidents.",B-MOUNTAIN O O O O O O O O O O O O O O,Rushmore
"Kilimanjaro, Africa's highest peak, offers diverse ecosystems for exploration.",B-MOUNTAIN O O O O O O O O,Kilimanjaro
"Mont Blanc, standing on the border of France and Italy, is the highest peak in the Alps.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,Mont Blanc
"Whitney, located in California, is the highest summit in the contiguous United States.",B-MOUNTAIN O O O O O O O O O O O O,Whitney
"Mount Olympus, the mythical home of the Greek gods, is also a mountain range in Greece. || Mount Olympus (Greece)",O B-MOUNTAIN O O O O O O O O O O O O O O O O O O,Olympus
Fuji is an iconic and active volcano located in Japan.,B-MOUNTAIN O O O O O O O O O,Fuji
The Matterhorn is a famous pyramid-shaped mountain found in the Alps of Switzerland.,O B-MOUNTAIN O O O O O O O O O O O,Matterhorn
"In New Zealand, you can find Mount Cook, the country's highest peak.",O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O,Mount Cook
The Ural Mountains form a natural border between Europe and Asia.,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O,Ural Mountains
"The Atlas Mountains stretch across northwestern Africa, forming the backbone of Morocco.",O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Atlas Mountains
Ararat in Turkey is said to be the resting place of Noah's Ark according to ancient legends.,B-MOUNTAIN O O O O O O O O O O O O O O O O,Ararat
"Mount McKinley, renamed Denali in 2015, is the highest mountain peak in North America (repeated for clarity).",O O O B-MOUNTAIN O O O O O O O O O O O O O,Denali
"The Andes, stretching over 7,000 kilometers, are home to numerous majestic peaks. || Aconcagua (highest peak in the Andes)",O O O O O O O O O O O O O B-MOUNTAIN O O O O O,Aconcagua
"The Andes, stretching over 7,000 kilometers, are home to numerous majestic peaks. || Aconcagua (highest peak in the Andes)",O B-MOUNTAIN O O O O O O O O O O O O O O O O O,Andes
The highest peak in Africa and the world's tallest free-standing mountain is Kilimanjaro. || Mount Kilimanjaro (repeated for clarity),O O O O O O O O O O O O B-MOUNTAIN O O O O O O,Kilimanjaro
"The majestic Fuji, an active stratovolcano, is Japan's highest mountain.",O O B-MOUNTAIN O O O O O O O,Fuji
"The Matterhorn, a distinctive peak in the Alps, straddles Switzerland and Italy.",O B-MOUNTAIN O O O O O O O O O O,Matterhorn
"Mount Elbrus, located in Russia, is Europe's highest mountain.",B-MOUNTAIN I-MOUNTAIN O O O O O O O,Mount Elbrus
Vinson Massif is the highest peak in Antarctica.,B-MOUNTAIN O O O O O O O,Vinson
"The highest point of South America is Mount Aconcagua, found in Argentina.",O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O,Mount Aconcagua
"Mount Rinjani, an active volcano, is located on the Indonesian island of Lombok.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O,Mount Rinjani
"Mount Kosciuszko, part of the Snowy Mountains, is Australia's highest mountain.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O,Mount Kosciuszko
The Carstensz Pyramid in Indonesia is recognized as the highest peak in Oceania.,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Carstensz Pyramid
Aspiring Mountain in New Zealand's Southern Alps is a popular destination for mountaineers. || Aoraki/Mount Cook (officially known as Aoraki/Mount Cook and colloquially as Aspiring Mountain),O O O O O O B-MOUNTAIN O O O O O O O O O O O O O O O O O O O,Alps
The highest peak in Africa is Uhuru Peak on Tanzania's Mount Kilimanjaro. || Uhuru Peak (Mount Kilimanjaro),O O O O O O O O O O O B-MOUNTAIN O O O O O,Kilimanjaro
"The Matterhorn, located on the border of Switzerland and Italy, is one of the most iconic mountains in the world.",O B-MOUNTAIN O O O O O O O O O O O O O O O O O O,Matterhorn
"Aoraki/Mount Cook, New Zealand's highest peak, offers breathtaking views from its summit.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Aoraki/Mount Cook
"Fuji, Japan's tallest mountain, is a symbol of the country and is often depicted in art.",B-MOUNTAIN O O O O O O O O O O O O O O O,Fuji
"The Andes, the longest continental mountain range, stretch through South America.",O B-MOUNTAIN O O O O O O O O O,Andes
"Vinson Massif, located in Antarctica, is the highest peak on that continent.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O,Vinson Massif
"Mount Whitney, situated in California, is the tallest summit in the contiguous United States.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O,Mount Whitney
"Mount Ararat, a historical and religious site, is believed to be the resting place of Noah's Ark.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O O,Mount Ararat
"Elbrus, located in Russia, is Europe's highest mountain.",B-MOUNTAIN O O O O O O O,Elbrus
